"Country","Day","Confirmed","Deaths","Recovered"
"Qatar",1,1,0,0
"Qatar",2,3,0,0
"Qatar",3,3,0,0
"Qatar",4,7,0,0
"Qatar",5,8,0,0
"Qatar",6,8,0,0
"Qatar",7,8,0,0
"Qatar",8,8,0,0
"Qatar",9,15,0,0
"Qatar",10,18,0,0
"Qatar",11,24,0,0
"Qatar",12,262,0,0
"Qatar",13,262,0,0
"Qatar",14,320,0,0
"Qatar",15,337,0,4
"Qatar",16,401,0,4
"Qatar",17,439,0,4
"Qatar",18,439,0,4
"Qatar",19,452,0,4
"Qatar",20,460,0,4
"Qatar",21,470,0,10
"Qatar",22,481,0,27
"Qatar",23,494,0,33
"Qatar",24,501,0,33
"Qatar",25,526,0,41
