"Country","Day","Confirmed","Deaths","Recovered"
"Uzbekistan",1,1,0,0
"Uzbekistan",2,6,0,0
"Uzbekistan",3,10,0,0
"Uzbekistan",4,15,0,0
"Uzbekistan",5,23,0,0
"Uzbekistan",6,33,0,0
"Uzbekistan",7,43,0,0
"Uzbekistan",8,43,0,0
"Uzbekistan",9,46,0,0
"Uzbekistan",10,50,0,0
"Uzbekistan",11,60,0,0
"Uzbekistan",12,75,0,0
"Uzbekistan",13,88,1,5
"Uzbekistan",14,104,2,5
"Uzbekistan",15,144,2,7
"Uzbekistan",16,149,2,7
"Uzbekistan",17,172,2,7
"Uzbekistan",18,181,2,12
"Uzbekistan",19,205,2,25
"Uzbekistan",20,227,2,25
"Uzbekistan",21,266,2,25
"Uzbekistan",22,342,2,30
"Uzbekistan",23,457,2,30
"Uzbekistan",24,520,2,30
"Uzbekistan",25,545,3,30
"Uzbekistan",26,582,3,38
"Uzbekistan",27,624,3,42
"Uzbekistan",28,767,4,42
"Uzbekistan",29,865,4,66
"Uzbekistan",30,998,4,85
"Uzbekistan",31,1165,4,99
"Uzbekistan",32,1302,4,107
"Uzbekistan",33,1349,4,129
"Uzbekistan",34,1405,4,156
"Uzbekistan",35,1490,5,194
"Uzbekistan",36,1565,5,225
"Uzbekistan",37,1627,5,261
"Uzbekistan",38,1678,6,357
"Uzbekistan",39,1716,7,450
"Uzbekistan",40,1758,7,561
"Uzbekistan",41,1804,8,621
"Uzbekistan",42,1862,8,707
"Uzbekistan",43,1869,8,789
"Uzbekistan",44,1904,8,892
"Uzbekistan",45,1939,8,992
"Uzbekistan",46,2002,9,1096
"Uzbekistan",47,2039,9,1133
"Uzbekistan",48,2086,9,1212
"Uzbekistan",49,2118,9,1271
"Uzbekistan",50,2149,10,1319
"Uzbekistan",51,2189,10,1405
"Uzbekistan",52,2207,10,1501
