"Country","Day","Confirmed","Deaths","Recovered"
"Cote d'Ivoire",1,1,0,0
"Cote d'Ivoire",2,1,0,0
"Cote d'Ivoire",3,1,0,0
"Cote d'Ivoire",4,1,0,0
"Cote d'Ivoire",5,1,0,0
"Cote d'Ivoire",6,1,0,0
"Cote d'Ivoire",7,5,0,1
"Cote d'Ivoire",8,6,0,1
"Cote d'Ivoire",9,9,0,1
"Cote d'Ivoire",10,9,0,1
"Cote d'Ivoire",11,14,0,1
"Cote d'Ivoire",12,14,0,1
"Cote d'Ivoire",13,25,0,2
"Cote d'Ivoire",14,73,0,2
"Cote d'Ivoire",15,80,0,3
"Cote d'Ivoire",16,96,0,3
"Cote d'Ivoire",17,101,0,3
"Cote d'Ivoire",18,101,0,3
"Cote d'Ivoire",19,165,1,4
"Cote d'Ivoire",20,168,1,6
"Cote d'Ivoire",21,179,1,7
"Cote d'Ivoire",22,190,1,9
"Cote d'Ivoire",23,194,1,15
"Cote d'Ivoire",24,218,1,19
"Cote d'Ivoire",25,245,1,25
"Cote d'Ivoire",26,261,3,37
"Cote d'Ivoire",27,323,3,41
"Cote d'Ivoire",28,349,3,41
"Cote d'Ivoire",29,384,3,48
"Cote d'Ivoire",30,444,3,52
"Cote d'Ivoire",31,444,3,52
"Cote d'Ivoire",32,533,4,58
"Cote d'Ivoire",33,574,5,85
"Cote d'Ivoire",34,626,6,89
"Cote d'Ivoire",35,638,6,114
"Cote d'Ivoire",36,638,6,114
"Cote d'Ivoire",37,654,6,146
"Cote d'Ivoire",38,688,6,193
"Cote d'Ivoire",39,801,8,239
"Cote d'Ivoire",40,847,9,260
"Cote d'Ivoire",41,847,9,260
"Cote d'Ivoire",42,916,13,303
"Cote d'Ivoire",43,952,14,310
"Cote d'Ivoire",44,1004,14,359
"Cote d'Ivoire",45,1077,14,419
"Cote d'Ivoire",46,1077,14,419
"Cote d'Ivoire",47,1150,14,468
"Cote d'Ivoire",48,1164,14,499
"Cote d'Ivoire",49,1183,14,525
"Cote d'Ivoire",50,1238,14,557
"Cote d'Ivoire",51,1275,14,574
"Cote d'Ivoire",52,1333,15,597
"Cote d'Ivoire",53,1362,15,622
"Cote d'Ivoire",54,1398,17,653
"Cote d'Ivoire",55,1432,17,693
"Cote d'Ivoire",56,1464,18,701
"Cote d'Ivoire",57,1516,18,721
"Cote d'Ivoire",58,1571,20,742
"Cote d'Ivoire",59,1602,20,754
"Cote d'Ivoire",60,1667,21,769
"Cote d'Ivoire",61,1700,21,794
"Cote d'Ivoire",62,1730,21,818
"Cote d'Ivoire",63,1857,21,820
"Cote d'Ivoire",64,1912,24,902
